Filename,Label,Prediction
Bad (11).jpg,0,0
Bad (20).jpg,0,0
Bad (30).jpg,0,0
Bad (34).jpg,0,0
Bad (36).jpg,0,0
Bad (41).jpg,0,0
Bad (44).jpg,0,0
Bad (52).jpg,0,0
Bad (54).jpg,0,0
Bad (57).jpg,0,0
Bad (66).jpg,0,1
Bad (67).jpg,0,0
Bad (76).jpg,0,0
Bad (78).jpg,0,1
Bad (8).jpg,0,0
Bad (81).jpg,0,1
Bad (84).jpg,0,1
Good (106).jpg,1,1
Good (108).jpg,1,1
Good (111).jpg,1,1
Good (113).jpg,1,1
Good (124).jpg,1,1
Good (144).jpg,1,1
Good (145).jpg,1,1
Good (146).jpg,1,1
Good (147).jpg,1,1
Good (15).jpg,1,1
Good (151).jpg,1,1
Good (154).jpg,1,1
Good (156).jpg,1,1
Good (158).jpg,1,0
Good (165).jpg,1,1
Good (166).jpg,1,1
Good (167).jpg,1,1
Good (169).jpg,1,1
Good (171).jpg,1,1
Good (176).jpg,1,1
Good (182).jpg,1,1
Good (187).jpg,1,1
Good (191).jpg,1,1
Good (195).jpg,1,1
Good (199).jpg,1,1
Good (23).jpg,1,1
Good (26).jpg,1,1
Good (3).jpg,1,1
Good (44).jpg,1,1
Good (48).jpg,1,1
Good (50).jpg,1,1
Good (56).jpg,1,1
Good (59).jpg,1,1
Good (6).jpg,1,1
Good (71).jpg,1,1
Good (85).jpg,1,1
Good (94).jpg,1,1
Good (95).jpg,1,1
Good (97).jpg,1,1
Good (98).jpg,1,1
