epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7134831547737122,0.0010000000474974513,0.7012096643447876,0.7111111283302307,4.2700934410095215
1,0.800000011920929,0.0010000000474974513,1.4379863739013672,1.0,0.0
2,0.8089887499809265,0.0010000000474974513,0.575647234916687,0.7222222089767456,0.9906857013702393
3,1.0,0.0010000000474974513,0.11035510897636414,0.5,1.4289196729660034
4,0.9269663095474243,0.0005000000237487257,0.2073686420917511,0.8222222328186035,1.227030634880066
5,0.9333333373069763,0.0005000000237487257,0.3105497360229492,1.0,6.580018816748634e-05
6,0.9269663095474243,0.0002500000118743628,0.1981913298368454,0.8666666746139526,0.8689995408058167
7,0.9333333373069763,0.0002500000118743628,0.15160781145095825,1.0,0.00019083563529420644
8,0.9550561904907227,0.0001250000059371814,0.14979107677936554,0.8777777552604675,0.8081024289131165
9,0.9333333373069763,0.0001250000059371814,0.09367358684539795,0.5,3.9457926750183105
10,0.9722222089767456,6.25000029685907e-05,0.09550918638706207,0.8777777552604675,0.9881744980812073
11,0.9230769276618958,6.25000029685907e-05,0.15677578747272491,1.0,7.2717293733148836e-06
